feature,importance,importance_mean,importance_std,importance_norm,importance_perm_norm,combined_score
time_since_high,0.056714452849632266,0.011124580099268444,0.0004301441287306219,0.8446452716805364,1.0,0.9223226358402682
btc_vol_60m,0.0671458833088489,0.008298504942314522,0.00019705420445315807,1.0,0.7459611839965298,0.8729805919982649
drawdown,0.051975078545512685,0.010225977456532354,0.0002133128513592052,0.774062027100671,0.9192236799306086,0.8466428535156398
vol_60m,0.04952624637209501,0.007086296008153759,0.00025064135962317473,0.7375917022982724,0.6369944703458745,0.6872930863220734
ema_20,0.0540559123819116,0.0047849083003141946,0.0002821683325834504,0.8050517726198082,0.4301203512956729,0.6175860619577406
volume_weighted_price,0.043839470349395275,0.0059356021542339875,0.00016614637371217516,0.6528988552842203,0.5335574108207747,0.5932281330524976
ema_50,0.055105374450540284,0.0039019859721493243,0.0004956936855062293,0.8206813543143628,0.3507535509053434,0.5857174526098531
btc_close_norm,0.04639459073357156,0.005079215743035825,0.000579573256824715,0.6909521246473407,0.45657595142578333,0.5737640380365621
ema_10,0.04923809093722332,0.00408653121287228,0.00021521407300695725,0.7333002190282367,0.36734251328200795,0.5503213661551223
ema_5,0.050089021938030054,0.0024159746220139278,0.0002654852401512487,0.7459730882925032,0.21717445516642941,0.4815737717294663
macd_signal,0.04017839172740018,0.004003304927840378,0.0003041721797494887,0.5983746098415721,0.35986121652390607,0.4791179131827391
momentum_60,0.033222268132502085,0.004893464324268892,0.00018997208463417275,0.49477743824875486,0.43987856445841833,0.4673280013535866
btc_vol_15m,0.03653628049612181,0.002931012646776798,8.912668223557943e-05,0.5441328447206061,0.26347175539412426,0.40380230005736517
btc_returns_60m,0.038089986895249145,0.002571571589682331,0.0002559429092945679,0.5672721098931379,0.2311612273663649,0.3992166686297514
parkinson_vol_sma,0.023369672005848094,0.004489394679548631,0.00018062893763974875,0.3480432582643275,0.40355632657486595,0.3757997924195967
btc_bnb_corr_60m,0.025323197783784782,0.004075675610476859,0.0001791245464939621,0.3771370117704228,0.3663666919657378,0.3717518518680803
atr_14,0.0200701348820567,0.004005717283928267,0.0001401659850200806,0.29890343075450665,0.360078065705301,0.3294907482299038
btc_bnb_corr_30m,0.0240875230575756,0.0030624860535663602,0.00029474707275165235,0.35873417506149924,0.2752900357801145,0.3170121054208069
macd,0.030552162607659594,0.001484805172091419,0.0003481323217110159,0.4550117014192774,0.1334706711482135,0.29424118628374546
vol_15m,0.020374608329653723,0.002811601020426613,0.00012869416673820497,0.3034379373034271,0.25273772091510266,0.2780878291092649
return_skew_20,0.0226897767870078,0.0020251729357770422,0.00032097483336481316,0.33791761562868,0.18204488778054806,0.25998125170461406
macd_histogram,0.014753462075469787,0.002648766984494566,0.00030393293402685855,0.21972251087395384,0.2381004011709844,0.22891145602246912
volume_sma_10,0.016661247373987775,0.0022905321054440984,0.00011949079361502882,0.24813505389975343,0.20589829773392745,0.22701667581684043
ema_10_20_cross,0.01582805387919579,0.001539083184068768,0.00028483173677562265,0.23572634835097736,0.13834977772958626,0.1870380630402818
return_std_10,0.014382303042360793,0.0013521255872579242,0.00024302018236927389,0.2141948595151686,0.12154396617152681,0.1678694128433477
return_kurt_20,0.012970429211439639,0.0014281148040262038,0.00011317524300982105,0.19316789909189142,0.12837471538544784,0.16077130723866961
btc_returns_15m,0.01277951937964562,0.0012761363704896223,7.16230106894128e-05,0.19032468931660412,0.11471321695760377,0.15251895313710395
bnb_btc_momentum_diff,0.010845636098010408,0.0014498260088171122,0.00019073637837332806,0.16152347044306592,0.13032635801799414,0.14592491423053003
momentum_20,0.01006672154501716,0.001391929462707986,0.00011546595689143823,0.14992313823192355,0.125121977664534,0.13752255794822876
ema_5_10_cross,0.007333741947004063,0.0011989409756773873,0.00020245834103740294,0.10922102123925113,0.10777404315298426,0.1084975321961177
rsi_14,0.010904531472800889,0.00037391519362171,0.0002631846218952933,0.16240059606697918,0.03361162311612092,0.09800610959155005
vol_5m,0.008888450052335219,0.0003485854546989353,0.00013482243592305635,0.1323752047679719,0.03133470671147924,0.08185495573972557
momentum_10,0.004574483820701225,0.0007936651529131921,0.000115478556155713,0.06812753954937356,0.07134338067873536,0.06973546011405446
bb_position,0.0033095883660035456,0.0007333562507161551,0.00013606843137964716,0.04928952011518758,0.0659221511438783,0.057605835629532934
return_mean_10,0.004296158346664251,0.0005174503808506925,0.00012285265330471562,0.06398245335314662,0.04651414940908378,0.055248301381115195
momentum_5,0.003473970325917321,0.0006018828439265711,9.267969441383723e-05,0.05173765173269379,0.05410387075788605,0.052920761245289924
intrabar_momentum,0.0017079971646268921,0.00038115226188533135,3.441308610949909e-05,0.02543710917869185,0.03426217066030169,0.029849639919496768
volume_ratio,0.0011739330485668394,0.0002617406355351681,6.914251909305308e-05,0.017483321250941552,0.023528136181282047,0.0205057287161118
parkinson_vol,0.0014533717632056584,0.00014715372136078208,4.649656002216714e-05,0.021644986879100662,0.013227800065052248,0.017436393472076456
btc_returns_1m,0.0009280333850566831,0.0002243491161730171,8.600311661919452e-05,0.013821150893019546,0.020166973869671753,0.01699406238134565
btc_volume_ratio,0.0007776014348087529,0.0002074626235578636,2.9198478857314658e-05,0.011580776013207585,0.018649029599913294,0.01511490280656044
high_low_spread,0.0013955631629192341,5.789654610914852e-05,5.3345260956614334e-05,0.02078404652896,0.0052043803534621335,0.012994213441211067
close_open_change,0.0008759768917248606,0.00011338073613043065,6.455024954743093e-05,0.01304587635992003,0.01019191152553134,0.011618893942725684
return_lag2,0.0008217804466295881,6.151508024094809e-05,3.084610218146895e-05,0.012238731641218708,0.00552965412555152,0.008884192883385114
return_lag5,0.0004880475716074411,3.980387545006181e-05,7.237068263650966e-06,0.007268466025870617,0.003578011493007212,0.005423238759438915
return_lag1,0.0005446721000220489,1.3267958483331732e-05,2.86451414232675e-05,0.008111772057815325,0.0011926704976670747,0.0046522212777412
return_lag10,0.00018660152265802764,6.875214850459166e-05,1.6450075322188208e-05,0.0027790463608874166,0.006180201669734287,0.004479624015310851
